gid,id,team,d_seq,d_pos,stattype,d_ifouts,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,d_gs,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
PHI190104180,davil101,BRO,1,7,value,27,3,0,1,0,0,,,,,1,19010418,,PHI09,v,PHI,1,0,0,regular,y,
PHI190104180,keelw101,BRO,1,9,value,27,2,0,0,0,0,,,,,1,19010418,,PHI09,v,PHI,1,0,0,regular,y,
PHI190104180,shecj101,BRO,1,5,value,27,0,0,2,0,0,,,,,1,19010418,,PHI09,v,PHI,1,0,0,regular,y,
PHI190104180,kellj106,BRO,1,3,value,27,7,0,0,0,0,,,,,1,19010418,,PHI09,v,PHI,1,0,0,regular,y,
PHI190104180,mccrt101,BRO,1,8,value,27,1,1,0,0,0,,,,,1,19010418,,PHI09,v,PHI,1,0,0,regular,y,
PHI190104180,dalyt101,BRO,1,4,value,27,5,3,0,0,0,,,,,1,19010418,,PHI09,v,PHI,1,0,0,regular,y,
PHI190104180,dahlb102,BRO,1,6,value,27,2,6,0,1,0,,,,,1,19010418,,PHI09,v,PHI,1,0,0,regular,y,
PHI190104180,mcgud101,BRO,1,2,value,27,7,0,0,0,0,0,,,,1,19010418,,PHI09,v,PHI,1,0,0,regular,y,
PHI190104180,donob101,BRO,1,1,value,27,0,4,0,1,0,,,,,1,19010418,,PHI09,v,PHI,1,0,0,regular,y,
PHI190104180,thomr101,PHI,1,8,value,27,4,0,0,0,0,,,,,1,19010418,,PHI09,h,BRO,0,1,0,regular,y,
PHI190104180,slagj102,PHI,1,7,value,27,2,1,0,0,0,,,,,1,19010418,,PHI09,h,BRO,0,1,0,regular,y,
PHI190104180,delae101,PHI,1,3,value,27,10,1,1,0,0,,,,,1,19010418,,PHI09,h,BRO,0,1,0,regular,y,
PHI190104180,flice101,PHI,1,9,value,27,0,0,0,0,0,,,,,1,19010418,,PHI09,h,BRO,0,1,0,regular,y,
PHI190104180,mcfae101,PHI,1,2,value,27,6,1,0,0,0,0,,,,1,19010418,,PHI09,h,BRO,0,1,0,regular,y,
PHI190104180,wolvh101,PHI,1,5,value,27,2,0,0,0,0,,,,,1,19010418,,PHI09,h,BRO,0,1,0,regular,y,
PHI190104180,dolaj101,PHI,1,4,value,27,0,3,0,0,0,,,,,1,19010418,,PHI09,h,BRO,0,1,0,regular,y,
PHI190104180,crosm101,PHI,1,6,value,27,2,2,0,0,0,,,,,1,19010418,,PHI09,h,BRO,0,1,0,regular,y,
PHI190104180,dunnj102,PHI,1,1,value,1,0,0,0,0,0,,,,,1,19010418,,PHI09,h,BRO,0,1,0,regular,y,
PHI190104180,duggb101,PHI,1,1,value,26,1,5,0,0,0,,,,,,19010418,,PHI09,h,BRO,0,1,0,regular,y,
